11:58:31: registered and logged in
11:58:33: closed app
11:59:12: Favorited a review
11:59:18: opened notification ()
12:00:19: closed app
12:07:11: opened notification ()
12:07:22: opened notification ()
12:07:23: opened notification ()
12:07:24: opened notification ()
12:07:24: opened notification ()
12:09:02: closed app
12:55:02: created a post
12:56:09: closed app
13:02:10: opened notification ()
13:02:16: Favorited a review
13:03:20: closed app
13:05:32: created a post
13:06:18: opened notification ()
13:06:43: created a post
13:06:53: opened notification ()
13:07:46: created a post
13:07:58: closed app
13:35:03: created a post
13:35:25: closed app
