16:01:49: registered and logged in
16:03:02: closed app
16:04:14: checked my post
16:04:17: opened notification ()
16:05:16: closed app
16:07:22: created a post
16:07:37: closed app
16:12:01: Favorited a review
16:12:02: checked my post
16:13:05: closed app
16:14:11: created a post
16:15:11: closed app
16:17:39: checked my post
16:17:45: checked my post
16:17:46: checked my post
16:17:47: checked my post
16:17:48: checked my post
16:17:49: opened notification ()
16:17:53: checked my post
16:17:58: checked my post
16:18:07: opened notification ()
16:18:17: closed app
