14:38:33: registered and logged in
14:39:08: Favorited a review
14:39:16: created a post
14:39:24: checked my post
14:39:29: opened notification ()
14:42:53: closed app
14:45:32: created a post
14:45:46: closed app
14:50:48: created a post
14:51:27: closed app
14:55:48: checked my post
14:55:57: opened notification ()
14:56:17: closed app
14:57:43: checked my post
14:57:56: opened notification ()
15:01:05: checked my post
15:01:14: opened notification ()
15:05:20: created a post
15:05:35: closed app
15:14:05: checked my post
15:14:11: opened notification ()
15:14:15: opened notification ()
15:14:32: checked my post
15:14:35: opened notification ()
15:15:13: checked my post
15:15:24: closed app
