13:45:39: closed app
11:28:58: registered and logged in
11:29:06: closed app
11:29:47: created a post
11:29:58: opened notification ()
11:29:59: checked my post
11:30:01: opened notification ()
11:30:10: Favorited a review
11:30:16: opened notification ()
11:30:55: closed app
11:48:08: created a post
11:48:15: closed app
12:14:48: created a post
12:15:12: closed app
12:47:16: checked my post
12:47:29: closed app
13:49:15: opened notification ()
13:49:16: opened notification ()
13:49:17: opened notification ()
13:49:17: opened notification ()
13:49:17: opened notification ()
13:49:18: opened notification ()
13:49:18: opened notification ()
13:49:20: closed app
14:52:53: created a post
14:52:55: closed app
00:15:01: checked my post
00:15:29: closed app
